"scenario","replicate","total_est","total_se","direct_est","direct_se","apparent_est","apparent_se","total_true","direct_true","apparent_true","residual_true","hidden_true"
"Mixed identifiable",40,0.04796385039509,0.00493928200288533,0.0272245951505477,0.00792583716966725,0.0207392552445423,0.00731111366908585,0.0449,0.03,0.0149,0.0149,0
"Confounded residual",1,0.0555787606834254,0.00550984318742844,0.022718208012057,0.0076631588789049,0.0328605526713684,0.00556257173947818,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",2,0.0630725855513376,0.0044403370553512,0.0345648212768442,0.0064884118561136,0.0285077642744934,0.00525860403339425,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",3,0.0662235300255924,0.00408266043103069,0.0392639158983078,0.0067341530812206,0.0269596141272846,0.00570163929797643,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",4,0.0693963872244226,0.00566740570727973,0.0390438231115545,0.00971567499804572,0.030352564112868,0.00849352015862175,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",5,0.0683420240042136,0.00494683200274863,0.0248886543510352,0.00862736947462892,0.0434533696531784,0.00847661919426614,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",6,0.0711491193810472,0.00449210382819997,0.040860411937902,0.00789424894089522,0.0302887074431452,0.0069241746624368,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",7,0.061441614820995,0.00384653367200734,0.00854504834451656,0.00664755530374603,0.0528965664764784,0.00687151199189345,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",8,0.0521404994996007,0.00442034715321265,0.0286913652935884,0.00847610882929742,0.0234491342060124,0.00654844946041679,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",9,0.0666879196384869,0.00475058639174249,0.0538544244296293,0.00832492052342182,0.0128334952088576,0.0059899830638861,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",10,0.0648729904118768,0.00606027032236699,0.0372191981090872,0.00921843735936533,0.0276537923027896,0.00471207685595725,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",11,0.0628157791078259,0.00554730720530125,0.0285947551071364,0.010197567087831,0.0342210240006895,0.0090995646522133,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",12,0.0692774883911664,0.00552183568865755,0.0297909177313901,0.00717216236453999,0.0394865706597763,0.00585917918757238,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",13,0.065816785445756,0.00450486298630178,0.0436488838074347,0.00505342774498669,0.0221679016383213,0.00498268831425984,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",14,0.0692760238496067,0.00382872578505593,0.0434940281438568,0.00780429421067444,0.0257819957057499,0.00689289387169338,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",15,0.0635825439895293,0.00538481307377916,0.0407081968081486,0.0074874566971585,0.0228743471813807,0.00582673476160645,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",16,0.069019130971102,0.0051507209430042,0.0386551834559855,0.00679088574130121,0.0303639475151164,0.00411887529161616,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",17,0.0657227742760246,0.0045716836988245,0.0286995396039496,0.00791428232572198,0.037023234672075,0.00653085519359648,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",18,0.0609357767085511,0.00539157984707639,0.00428191857790529,0.0107265789477274,0.0566538581306458,0.00890694987539497,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",19,0.0628455815083867,0.00439925244864382,0.0282791091909736,0.0082669209344287,0.0345664723174131,0.0063092161655841,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",20,0.0592588116979632,0.00474593341669088,0.0239172185734862,0.00658084192329143,0.035341593124477,0.00561395525529107,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",21,0.0648507507475199,0.00472351902692057,0.0125170016649183,0.00572170797906016,0.0523337490826016,0.00622236768241694,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",22,0.0635448571634784,0.00417134083883634,0.0275899271262089,0.00645041106343597,0.0359549300372695,0.00514759635893553,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",23,0.0612856450234292,0.00584184575281516,0.0305525823646709,0.00779543384058269,0.0307330626587583,0.00540506998046057,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",24,0.0670936190785147,0.00477846962129355,0.0448921140552,0.00703793768534405,0.0222015050233146,0.00638452530051921,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",25,0.0608021151010082,0.00636065162186013,0.0381185955181978,0.00553736468215382,0.0226835195828104,0.00535312585023957,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",26,0.0795554046066427,0.00506579361565879,0.0493522305904073,0.00922003791148929,0.0302031740162354,0.00748302256552128,0.0633,0.03,0.0149,0.0333,0.0184
"Confounded residual",27,0.0649394332283275,0.00447333623978357,0.028260709549834,0.00689668213946268,0.0366787236784935,0.00655802976092862,0.0633,0.03,0.0149,0.0333,0.0184
